image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
149|class1907_AVParks|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Annie Victoria Parks|0|0||72
150|class1907_EMMcCracken|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Eva M McCracken|0|0||72
151|class1907_FAJewett|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Frederick  Arnold Jewett|0|0||72
152|class1907_GAHDysart|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||GA Harrison Dysart|0|0||72
153|class1907_HACarr|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Hugh Allan Carr|0|0||72
154|class1907_HEHayward|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Henry Edgar Hayward|0|0||72
155|class1907_HESutherland|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Harry E Sutherland|0|0||72
156|class1907_HPMoulton|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Hazen Parker Moulton|0|0||72
157|class1907_HSDay|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Harry S Day|0|0||72
158|class1907_JPWood|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Joseph P Wood|0|0||72
159|class1907_KADunphy|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Kenneth Andrew Dunphy|0|0||72
160|class1907_MLOrchard|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Malcolm L Orchard|0|0||72
161|class1907_WCGillis|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Walter Cunard Gillis|0|0||72
162|class1907_WCMachum|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||Waldo C Machum|0|0||72
163|class1907_WWoods|0|Single|tiff|Mike Meade, Alex Rogers|||1907-01-01||||||||William Woods|0|0||72
164|class1908_WMMatthews|0|Single|tiff|Mike Meade, Alex Rogers|||1908-01-01||||||||Walter McNeill Matthews|0|0||72
